Sentence,Predict,True
thương giải_nghệ đi_anh ,tensor(0),tensor(2)
fan cuồng you mê gào mồm bênh đi ,tensor(0),tensor(1)
tao huhu baotran bui ,tensor(0),tensor(1)
lũ thần_kinh con_ruột tha ,tensor(2),tensor(0)
nhi đăng_quang mw gánh giun chuyến mãi truyền_thông công_ty tích_cực tí chấn_động ,tensor(2),tensor(0)
dân hút thuốc phổi rổ mấy bây thuốc_lá giả lỗ tô quà tàn_ác ,tensor(0),tensor(1)
thư trần mợt lắm ồi ,tensor(0),tensor(1)
linh đặng_đắp mặt_nạ đẹp ,tensor(0),tensor(2)
lòi chành triến xĩ kera ,tensor(0),tensor(2)
tan doan thầy ,tensor(0),tensor(1)
tàn_canh gió lạnh ,tensor(0),tensor(1)
goc đoàn di bôm lắm di bơm cua mẹ di bơm cua di bom cua di bom ,tensor(0),tensor(1)
cố_gắng tryhard marco đi gam nghiêm_túc msi gác mấy content tào_lao đi mấy content fan vui đội_tuyển chiến_thắng đâutập trung ,tensor(0),tensor(1)
tiên đứa tinh_thần kera sen đứa cưng tiên ,tensor(0),tensor(1)
kết_hợp hoàn_hảo ,tensor(0),tensor(1)
cứu thuỷ_tiên ,tensor(0),tensor(1)
trương hà tao lạy ,tensor(0),tensor(1)
c di bom hình_như pầu rùi ,tensor(0),tensor(1)
hiệp trống cố ,tensor(2),tensor(0)
xứng_đáng 8 tỷ ,tensor(2),tensor(0)
fan vô cứu chiến đi cổ oan kìa ￼ ,tensor(2),tensor(0)
thi 10đ 8đ như_vậy nè ,tensor(2),tensor(1)
tao giàu tao đéo bgjo khoe rầm rồ tnay khoe ,tensor(2),tensor(0)
tư_liệu lịch_sử ,tensor(0),tensor(2)
cđl bữa cãi quảng_cáo cổ_đông đồ kera thỳ mong lãnh 15 lịch ,tensor(2),tensor(0)
nam_mô di đà phật ,tensor(0),tensor(1)
tưởng quen to ,tensor(0),tensor(1)
1 tỷ mở_mắt ,tensor(0),tensor(2)
coi ,tensor(2),tensor(1)
hh ngon_lành ham_hố ,tensor(0),tensor(2)
hồng_nhung hồi ,tensor(0),tensor(1)
ui … thơcầu nguyện an_nghỉ ,tensor(0),tensor(1)
ảnh liêm đi đuôi tao phát liền hâhha ,tensor(0),tensor(1)
mấy thằng đần pháo mày cay mùa cm 0 dh châu_âu ,tensor(0),tensor(1)
trân khổng tiếc ,tensor(0),tensor(1)
hợp_lý nắm_đấm ,tensor(0),tensor(1)
bố nuôi ghé ,tensor(2),tensor(0)
thương ck yêu lắm lê_thị mai ngọc nguyễn_đkhoa ,tensor(0),tensor(1)
hé ,tensor(0),tensor(1)
tuệ nguyễn vĩ_đại ,tensor(0),tensor(1)
nhẹ cỡ fai xẻo chym ,tensor(2),tensor(1)
mong c vô_tội tội vô ,tensor(2),tensor(0)
tự_dưng triều_đình kpi ,tensor(2),tensor(1)
xợ xợ ,tensor(0),tensor(1)
tặng 2vc 1 lọ ,tensor(0),tensor(1)
nghỉ tiền thuê biệt_thự ,tensor(0),tensor(1)
93 khoẻ chời ,tensor(2),tensor(0)
chúc bình_an ,tensor(0),tensor(1)
vote phim nghề lồng_tiếng chút yêu_cầu ngọng kĩ_năng quan_trọng ,tensor(2),tensor(0)
vụ mẹ bắp mất_tiêu giả khùng giả điên xong ,tensor(2),tensor(1)
bệnh viêm mũii viê mày xoang ủ mủ chảy dịch mùi hôi liênhệ trần văn xuânn điều_trị dứt_điểm bệnh ,tensor(2),tensor(1)
đọc comment cười điên ,tensor(0),tensor(1)
lấy_độc_trị_độc maaa ,tensor(2),tensor(0)
đòi đòi 100 tỷ ,tensor(0),tensor(1)
huỳnh ngọc hả_hê ,tensor(0),tensor(2)
tao bỏ_qua nu pa ca chi tụi bay ,tensor(0),tensor(1)
nói_chung trang thể_thao toàn khịa fan chửi ,tensor(0),tensor(1)
chủ_nợ bây_giờ cười_khà_khà ,tensor(0),tensor(1)
huấn_luyện_viên nhảm fan clb mãi đéo vị ,tensor(0),tensor(1)
phạm tiến dũng vô vía 80t khoẻ khầy ,tensor(0),tensor(1)
bùi_hường gấp đôi ung_thư ,tensor(0),tensor(2)
văn híp ,tensor(0),tensor(1)
1 ty ngen bjk lu co nhin thay ,tensor(2),tensor(1)
kèo shipper cắn sâu dù_sao thằng kia đáng_đời hy_vọng chừa thói hống_hách ,tensor(0),tensor(1)
